id,restaurant_id,restaurant_review,rating
1,1,"Meh, was aight",5
2,78,Repudiandae nobis eos labore. Asperiores voluptate non ut. Voluptas ipsum exercitationem necessitatibus quasi ut et ea quisquam. Maiores fuga voluptas ut in numquam alias distinctio ullam quas. Maxime repudiandae fuga sapiente magni et consequuntur est hic. Quasi repellendus temporibus et.,2
3,97,Dolorem necessitatibus voluptatibus voluptas et non dicta et. Facere est sunt autem dolorem commodi porro repellat officiis. Ut aut adipisci corporis occaecati voluptate doloribus repellat suscipit. Autem enim saepe dicta asperiores mollitia qui officia quaerat.,3
4,93,Eaque tenetur aliquam dolorem vel et odit. Illum sit natus porro qui earum qui temporibus dicta. Quisquam impedit quaerat ipsam corrupti eveniet. Ut laboriosam sint. Ut accusamus est explicabo sint voluptatem non sint molestiae voluptatem. Qui officia voluptatum beatae animi quisquam dolorem iusto.,3
5,3,Eum aut quas in ut. Nisi molestiae aut sed sint sit rerum sint. Fugit nesciunt et temporibus est sit et dignissimos enim. Numquam qui pariatur voluptatem ducimus quia totam magnam quia. Pariatur voluptas tempora esse veritatis. Natus facilis consectetur.,1
6,40,Ut reprehenderit dolorem eligendi. Quidem perspiciatis quaerat distinctio saepe architecto odio perferendis non beatae. Veritatis voluptates repudiandae atque quis sit voluptatem et quia beatae.,1
7,88,Repellendus corrupti excepturi illo. Unde est eos nesciunt voluptatem quidem quos atque. Optio minus maiores consequatur. Fugiat ipsum voluptas.,4
8,49,Velit ut est numquam numquam dignissimos debitis quas. Ut maiores facere aut. Officiis nulla adipisci esse rem dicta assumenda. Molestiae qui deserunt quo. Aut voluptatem suscipit tenetur aut fuga cupiditate doloremque dolorum.,3
9,90,Quis accusamus ipsam harum alias voluptatem laudantium voluptatem suscipit. Aut repellendus iure unde et voluptatem. Fugit et molestiae temporibus ipsam. Iure illum et et debitis quis tempore distinctio qui vero. Praesentium soluta officia. Voluptas ut sit mollitia maiores beatae dolore totam et ut.,3
10,56,Molestiae sed atque voluptates. Quibusdam omnis et velit et ea dolores. At quo deleniti excepturi doloribus excepturi ut.,3
11,24,Illum voluptas ex reiciendis maiores. Non magnam distinctio tempora odio aspernatur. Asperiores quidem natus placeat laborum qui libero nihil. Expedita tempore rerum et et vero quibusdam.,3
12,0,Voluptate enim quis qui. Quaerat expedita rerum totam quod aut illo incidunt nam. Ab voluptatem architecto enim consequatur. Earum quasi dolor ipsa quaerat voluptatem iusto perspiciatis aut aut.,3
13,62,Est quaerat placeat consectetur dolores. Sint autem pariatur qui occaecati laudantium totam et reprehenderit. Ducimus quia laudantium fugiat odit ducimus est exercitationem id. Nam omnis ut. Enim consequuntur enim id.,1
14,33,Voluptatem animi corrupti dignissimos ut qui. Quam et aut incidunt pariatur alias. Iure quibusdam praesentium sit accusantium eos autem ex. Qui deleniti eum aut officiis voluptatem dolor tenetur.,4
15,29,Impedit aperiam repellendus nam non nam vel ut. Autem dolores reprehenderit ut ipsam laborum eligendi eum. In voluptas perferendis qui odit modi in velit quos est. Libero deserunt quis.,3
16,80,Est quibusdam quia excepturi nesciunt rerum. Qui consectetur molestias. Maxime soluta quo ut officia. Sed quos non labore minus quae porro dolores quis. Enim non optio expedita deleniti voluptatem alias.,4
17,73,Quos qui tenetur earum nesciunt similique eum voluptas. Ea ut saepe est aut. Repellat exercitationem at incidunt quia vero.,2
18,60,Et occaecati et aut. Dolor omnis voluptatem qui id id vero cum qui maiores. Aperiam eos quis aut. Eligendi ea non odit enim cupiditate earum velit.,4
19,21,Eos est reprehenderit repellendus similique nihil neque quae exercitationem aut. Praesentium nihil voluptate. Exercitationem rerum neque vitae et voluptas eligendi velit.,4
20,23,Molestiae et est magni sed cum harum maxime. Eum sint ipsa. Dolores deleniti numquam dolorem itaque qui aut in eum. Commodi dolorem voluptatem. Quia totam et assumenda. Tempore sunt magni.,1
21,54,Quod necessitatibus dolor vel totam sapiente natus fugiat dolores. Est soluta et quisquam occaecati libero cumque. Repellendus voluptas fugiat at non iste autem quisquam natus qui. Ut nesciunt officia quod. Ut minus deserunt mollitia consequatur.,2
22,66,Sunt doloribus quos itaque voluptas deleniti adipisci officiis et. Atque aut numquam quia qui. Sapiente quia quia ea adipisci laborum. Aut impedit odit in ex. Deleniti quidem voluptas nobis est molestias molestiae quod.,2
23,21,Fuga numquam aut in eum voluptates non minima saepe iure. Soluta suscipit eius magni sit. Voluptatem neque consequatur quam.,2
24,15,Voluptas aut sunt. Rerum explicabo vel id quaerat iste quam reiciendis velit eligendi. Iusto sed nobis excepturi accusantium.,1
25,100,Eius non vel consectetur explicabo fuga rerum neque eius accusamus. Quidem modi laboriosam et. Cum magni vel dolores totam quaerat ea dolorem corporis. Porro delectus itaque maiores recusandae earum. Iusto quia eligendi et ea et velit voluptate culpa. Natus qui fugit facilis minus sint tempora quis.,1
26,62,Provident omnis quo non in deserunt enim aut. Quas adipisci consequatur sint rerum numquam et illo molestias dolorum. Distinctio veniam autem aliquam voluptatem dolor aut asperiores. Aliquam nostrum repellat.,2
27,54,Fugiat repellendus sed eos. Voluptatem dolore omnis quis dolorem iste odio. Dolor id doloribus voluptatum deleniti laboriosam. Veritatis accusantium sapiente. Ad inventore eos error ex ut illum et animi. Ipsa placeat excepturi dolore nihil suscipit voluptatem id vel.,4
28,74,Labore ut tenetur animi recusandae. Enim natus asperiores. Aliquid quam distinctio corrupti est dolorem qui et. Quae hic consequatur molestiae deleniti rem non. Ut voluptatem voluptatem debitis dolor dolorem sunt voluptas.,4
29,46,Repudiandae rerum nulla et beatae consectetur et voluptas placeat. Sed nihil rerum voluptatibus non et qui non. In voluptatibus aperiam inventore rerum dolorem et facilis nulla. Veniam qui expedita perferendis placeat qui sit illum dolor.,2
30,61,Omnis est commodi voluptatem error inventore. Explicabo dolor aspernatur voluptas. Tempore id cupiditate vitae asperiores nesciunt. Ipsam magnam cupiditate a iure et iste est.,4
31,71,Est cupiditate dolores rem maiores. Et omnis labore qui eum libero ut quisquam. Molestias dolorum est.,2
32,23,Accusantium vel veritatis id nostrum et. Aperiam saepe accusantium magni a error sapiente eos. Quidem perferendis qui.,4
33,74,Fugit aut odit dolores minima enim. Libero officia doloribus dolores esse tempora. Rem quod dignissimos et consectetur sit dolorem aut.,1
34,74,Laboriosam praesentium sint accusantium. Omnis sit sit. Optio non dolorum aut et. Quia sapiente non consequatur sint nisi ad ipsum. Quidem corporis quo non quaerat alias saepe cupiditate. Autem id laborum.,2
35,73,Officia perspiciatis nisi. Maiores non sed odio quia deserunt asperiores. Sint velit ipsam nobis temporibus.,3
36,22,In omnis et quis sit beatae et dolorum id. Aut eligendi consectetur voluptatem. Debitis dolores harum quisquam blanditiis earum. Officia alias dolore doloribus sit porro illo aut beatae. Voluptatem et debitis repudiandae ipsa consequatur aut maiores. Tenetur fugiat dolor amet id.,3
37,99,Omnis sed eligendi fugit quisquam consectetur quam rerum. Enim ea sed quis aut minus quaerat quae possimus. Atque optio fugit perferendis sunt voluptatem sed maiores. Possimus harum officiis qui quidem voluptas et et iure consequatur.,1
38,7,Est fuga qui molestiae molestiae. Consequatur quo perspiciatis nisi. Quaerat molestiae itaque dignissimos doloribus nemo. Dignissimos doloribus non temporibus est molestiae error voluptatem reiciendis.,4
39,9,Molestias quae vel doloremque est. Non minus eos itaque amet eius iste excepturi. Culpa deserunt error natus ut ea maxime voluptas. Odio voluptatem ut quasi earum et sunt veniam natus. Corporis ea fugit qui voluptas qui.,3
40,94,Blanditiis ea velit sed sunt sed eum officiis. Soluta accusamus fugit minus qui quae laboriosam voluptatem. Ullam quia placeat qui. Atque dolorum omnis. Numquam reiciendis ut perspiciatis aliquid eum hic.,4
41,23,Illum dolorum repellendus molestiae tenetur possimus sed impedit itaque. Voluptatibus libero minus officia est doloribus deserunt. Fuga consequatur cumque quaerat aliquid fugit illum maiores. Nostrum repudiandae illum voluptate ut. Eius quod et.,1
42,15,Nam doloribus dolorem quis. Minus eos autem quisquam veritatis. Architecto qui nam et. Aut ut asperiores blanditiis ipsa qui similique. Temporibus occaecati eum quaerat dolorem nostrum. Pariatur odit necessitatibus.,1
43,39,Dignissimos temporibus amet nostrum doloribus. Eum blanditiis voluptatem asperiores numquam voluptates. Non ab molestias et dolorum quia itaque ut tenetur. Nesciunt et dolores quod expedita quaerat placeat repellat omnis perferendis. Esse ut itaque id libero asperiores aut minima perferendis.,4
44,96,Ut est quia necessitatibus et nemo ducimus quae nesciunt dignissimos. Quaerat deserunt omnis recusandae et quam. Porro et minus quos rem pariatur velit. Sed occaecati ratione. Voluptatem sit repellat est.,3
45,58,Facere qui magnam. Qui voluptatem ipsum omnis ut dolores qui. Eos ipsa tempora provident accusamus necessitatibus blanditiis iusto. Numquam debitis vel aspernatur cumque repudiandae et.,2
46,65,Et aut ea quo beatae provident sit voluptatem ullam neque. Sed rerum sed voluptate velit hic et eum. Et amet ea dolorum possimus officiis qui odio voluptate aliquid. Fuga voluptas nihil ut accusantium quas ut. Aut ut dolores et. Voluptas iure facere.,4
47,46,Non aut quo deserunt qui itaque aliquid consequatur atque modi. Aut sit qui veritatis numquam non vitae vel. Est iusto quo ut esse consequatur neque voluptates corrupti. Ducimus minima in culpa harum excepturi.,3
48,98,Sunt sunt inventore magnam et reiciendis ipsa vitae. Id nihil modi molestiae est. Voluptatem veniam non hic illum laboriosam. Accusantium tempore perferendis quis dignissimos ab sit odit et. Cupiditate velit eum. Qui natus asperiores neque molestiae tenetur laudantium tenetur aliquid.,1
49,44,Eveniet est totam beatae sit similique eaque error dignissimos. Quibusdam et qui sit sit eos voluptates unde. Inventore expedita dolor nisi sequi ut dicta amet. Est placeat id nemo esse qui in ducimus.,2
50,35,Et consequatur sapiente nemo ut ut vel sequi. Suscipit aut fuga similique eveniet facere sed excepturi aliquid accusamus. Quia iste fuga ipsum consequatur quia. Aliquam vel sed. Deserunt consequatur ex minima totam reiciendis qui cumque exercitationem modi. Mollitia omnis aut unde sint quidem.,3
51,8,Pariatur dolore perspiciatis repellendus saepe possimus ducimus eaque optio. Ducimus praesentium qui. Dolorum illum vero rerum nulla qui. Et est quis rem voluptate voluptatibus.,4
52,85,Sit nihil ullam esse nisi quia velit. Voluptas deleniti aperiam veniam totam. Hic omnis debitis corporis iusto libero labore.,1
53,16,Ipsam quo error aut cumque et eum omnis. Impedit ipsa eos. Voluptatem culpa id hic ex id.,1
54,66,Perferendis optio possimus dignissimos sint. Pariatur dolorem et unde dolorem ipsa et quia. Perspiciatis est ut molestiae. Occaecati voluptatum voluptate est rerum.,1
55,5,Et eos autem. Sed accusantium minus molestiae. Autem magnam sunt atque recusandae optio ipsa et aut blanditiis. Eius qui illum autem et et consequatur dolor. Et natus minima. Consequatur cum quia quia minima est.,2
56,70,Sapiente veritatis ut doloremque animi distinctio repellat. At soluta rem recusandae dolor laboriosam incidunt cum. Nam sapiente eligendi illo fuga ea quis eius nobis. Nobis sint animi ea tenetur praesentium exercitationem fugit delectus. Modi nulla voluptatem. Harum sed deserunt quo quia deleniti qui facilis.,1
57,88,Voluptatum quis exercitationem nihil magni voluptatem. Nobis qui adipisci incidunt. Dolores nesciunt pariatur quia vel iste nobis iste doloremque. Mollitia quasi eligendi nam dolorem earum rem nisi nihil hic. Et quaerat sit rerum sint. Vel cupiditate dolores.,2
58,13,Alias autem eos dolores quos maiores velit mollitia eaque. Magnam beatae minus aut. Aut soluta sunt.,2
59,76,Ut commodi dignissimos sed corrupti blanditiis. Laudantium animi alias. Eaque ratione qui doloremque eum qui ut quo veniam. Eaque aliquid eius voluptatum omnis quo tempore inventore doloribus. Itaque dolores et voluptatem numquam dicta doloremque aut quia enim.,2
60,63,Ratione est ea id eveniet ut tempora et fuga similique. Aut temporibus temporibus. Corporis sunt tempora. Pariatur laudantium et suscipit tempora qui dolorem. Ea deleniti repellendus voluptatem modi dolorum aut et temporibus.,1
61,14,Nihil impedit est quam vel a ipsum assumenda. Cumque soluta odit. Quos et dignissimos voluptate expedita. Enim dolorem veritatis reprehenderit labore voluptates molestias et.,1
62,28,Aut enim error similique qui eum qui rem tenetur asperiores. Sint ullam labore et. Est mollitia quam ipsam sed molestiae. Ut omnis dolores aut eum magni animi nam pariatur sit. Excepturi eius eligendi et officia.,4
63,53,Dolore aut consectetur. Dolores aliquam voluptas vel reiciendis pariatur fuga quasi nesciunt. Velit qui culpa iste sit voluptas error distinctio expedita. Ducimus voluptas cum. Dolorum sed adipisci saepe esse quia commodi neque. Omnis velit modi voluptatibus dolores commodi rem.,1
64,60,Fuga totam aut voluptatem deleniti numquam. Sed dolore accusantium quod exercitationem. Et sed quisquam ut et nostrum consequatur quia quasi.,3
65,61,Ut ut in atque. Deserunt ad molestiae et error qui libero. Nulla minus autem occaecati qui. Odio porro quae reprehenderit et.,1
66,59,Enim reiciendis est quod cum dolorum non unde doloribus. Magni culpa rem. Nihil quod tempora et deserunt porro omnis aliquam veniam. Eligendi aut aut provident quo rerum aut. Et velit et ratione perspiciatis eum repudiandae adipisci natus eum. Voluptas asperiores adipisci saepe at dolore non reiciendis.,2
67,55,Autem provident vero officiis. Reiciendis eligendi vero aut quis necessitatibus molestias. Aut in voluptatum neque. Ipsam ut aperiam impedit reprehenderit est aliquam velit nemo. Autem itaque autem. Ipsum asperiores voluptatum aliquid et iste voluptatum molestiae.,4
68,34,Quo dolor et laborum sunt. Voluptas nulla ut veniam. Facilis soluta facilis id itaque quasi aperiam quod. Tempora quia at fugiat minus asperiores aut non. Eos nihil id sapiente vitae quaerat sed ab.,2
